SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
57,,3 out of 5 stars,3498,"Android, Android v4.4 (KitKat)",,512 MB,6.5 x 1.1 x 12.8 cm,,"Camera, Radio, Internet, E-Mail, music player",2016-04-03
58,,3 out of 5 stars,3199,Android,White,,12.6 x 1 x 6.4 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100/900 MHz), GPRS, EDGE, HSPA+, HSPA, WiFi","Dual SIM, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail",2016-04-03
59,,,,Android,Black-Blue,,12.3 x 1.1 x 6.3 cm,"GSM, (900/1800 MHz), WiFi","Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail",2016-04-03
60,,,,Android,Grey,1 GB,13.3 x 1 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS(2100 MHz), GPRS, EDGE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Accelerometer, eCompass, Light sensor, E-mail",2016-04-03
61,,3 out of 5 stars,,"Android, Kitkat",Black,1 GB,14.2 x 0.9 x 7.2 cm,"GSM, (900/1800), 3G, WCDMA, (2100MHz), HSDPA, HSUPA, EDGE, GPRS, WAP, WiFi 802.11/b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, Gravity sensor, Proximity sensor, Light sensor",2016-04-03
62,,,,"Android, KitKat, Android^KitKat","Black, White",1 GB,19 x 12 x 5 cm,HSDPA,"Android 4.4.2 Kitkat, 5 inches HD+IPS+OGS, Micro SD, up to 64 GB, Rear Camera 8MP with Flash, Front Camera 3.2MP, Processor	1.2Ghz Quad core, Messaging	SMS, Whatsapp, Wechat, Li-Ion 2500 mAh battery",2016-04-03
63,,,15828,Android,white,,12.7 x 8.3 x 5.1 cm,3G,"Touchscreen, Primary Camera, LED Flash",2016-04-03
64,,2.5 out of 5 stars,,"Android, Jellybean",White,1 GB,14.3 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G-Sensor, E-mail, NFC, E-compass, Light and proximity sensor, Gyro meter",2016-04-03
65,,2.2 out of 5 stars,2599,"Android, Jellybean",Black,256 MB,6.4 x 0.8 x 1.1 cm,"GSM, GPRS, EDGE, WiFi 802.11/b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-03
66,,,,"Android, Gingerbread",Black,1 GB,12.2 x 1.1 x 12.2 cm,"GSM, GPRS, EDGE, WiFi, (850/900/1800/1900 MHz)","Voice Calls, Video Calls, Accelerometer sensor, Proximity sensor, E-mail, GPS",2016-04-03
67,,2.5 out of 5 stars,,"Android, Jellybean",White,512 MB,14.9 x 1 x 7.9 cm,"GSM, (900/1800 MHz), UMTS, 3G, (2100 MHz), WiFi","Music Player, Video Player, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-03
68,,4 out of 5 stars,,Android,Gold,,15.4 x 0.7 x 7.6 cm,GSM^3G^4G LTE,"Single SIM, Music Player, Video Player, FM Radio, Proximity sensor, Ambient light sensor, Accelerometer, eCompass, E-mail",2016-04-03
69,,3.1 out of 5 stars,3749,Android,White,512 MB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-03
70,,3.5 out of 5 stars,,"Android, Kitkat",White,1 GB,13.3 x 1.1 x 7.1 cm,"GSM, 3G, UMTS, 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-03
71,,3 out of 5 stars,9990,Android,Silver-Black,2 GB,14 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-04-03
72,,,,android,Yellow,1 GB,26.3 x 16 x 1.2 cm,WCDMA,"Camera, Radio, Internet, E-Mail, music player",2016-04-03
73,,3.5 out of 5 stars,16666,Android,white,3 GB,18.2 x 17.6 x 3.6 cm,,"Camera, Radio, Internet, E-Mail, music player",2016-04-03
74,,3.7 out of 5 stars,7777,Android,Grey,3 GB,14.5 x 0.9 x 7.2 cm,,"3 gb ram, Android OS",2016-04-03
75,,4 out of 5 stars,8350,Android,White,1 GB,13.7 x 0.8 x 6.9 cm,"GSM, (850/900/1800/1900 MHz), HSDPA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 128GB",2016-04-03
76,,,,Android,White,,10 x 4 x 4 cm,HSDPA,"Expandable Memory Upto 32GB, 4.8 inch Full HD Display|5 MP Auto Focus Camera + 2MP Camera|Free Flip-Cover inside the box.|8.8mm Super Slim Body.|1.6 Quad Core + 1.2 Ghz Quad Core Processor",2016-04-03
77,,3.5 out of 5 stars,,"Android, Jellybean",Multi-colored,256 MB,10.5 x 1.2 x 5.9 cm,"GSM, (900/1800 MHz), WiFi, GPRS, EDGE","Dual SIM, Expandable Memory: 32GB",2016-04-03
78,,3.2 out of 5 stars,4269,Android,Pearl White,512 MB,12.6 x 1 x 6.5 cm,"GSM, 3G, WCDMA, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Light sensor, Proximity sensor, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-03
79,,3.3 out of 5 stars,,"Android, Jellybean",Dark Grey,1 GB,14 x 1 x 7.2 cm,"GSM, (900/1800/1900 MHz), HSDPA, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, Accelerometer, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-03
80,,4 out of 5 stars,10499,Android,Gold,,15.2 x 0.9 x 7.7 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), 4G LTE, WiFi 802.11b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Hall sensor, Proximity sensor, G sensor, Ambient light sensor, Digital compass, Accelerometer, E-mail",2016-04-03
81,,,,"Android, KitKat, Android^KitKat",,512 MB,,HSDPA,"E-Mail, Music Player, Video Player",2016-04-03
82,,,5600,"Android, KitKat, Android^KitKat",White,512 MB,,HSDPA,"Dual SIM, Music Player, Video Player",2016-04-03
83,,4.2 out of 5 stars,10800,Android,Black,1 GB,14.2 x 5.2 x 7.5 cm,,"1.3GHZ QUAD-CORE CPU, GENTLY CURVED DESIGN, Android 5.0.1 Lollipop, GESTURE SHOT, KNOCK CODE",2016-04-03
84,,,,"Android, Jellybean",Grey,3 GB,11.5 x 1.2 x 6.1 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-03
85,,3.4 out of 5 stars,5200,"Android, Kitkat",White,1 GB,16.8 x 5.5 x 10.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
86,,3.6 out of 5 stars,5199,"Android, Kitkat",White,512 MB,12.4 x 1 x 6.4 cm,"GSM, (900/1800/1900 MHz), 3G, WCDMA, (1900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravitation sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
87,,1 out of 5 stars,4999,"Android, Kitkat",Black,1 GB,16.5 x 5.7 x 9.2 cm,"GSM, 3G, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Gravity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-03
88,,4.5 out of 5 stars,54500,Android,Gold,,15.4 x 0.8 x 7.6 cm,"GSM, HSPA, 3G, LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Fingerprint sensor, Ambient light sensor, Proximity sensor, E-mail",2016-04-03
89,,4.5 out of 5 stars,7999,Android,Champagne,,0.9 x 7.2 x 14.5 cm,,"HD IPS display, Single LED Flash, Auto Focus, 5MP Secondary Camera, 1280 x 720 - HD Screen Resolution, 4G LTE",2016-04-03
90,,,,android,gold,1 GB,14.3 x 7.4 x 0.9 cm,,"Rear camera with LED flash, Secondary camera with flash, Talk Time 9.5 hours (3G), 13.5 hours (2G), Standby Time 108 hours (3G), 162 hours (2G), Proximity, E-Compass, Motion Sensor, Dual SIM, GSM + WCDMA, 3G Bands WCDMA-900/2100 MHz, 2G Bands GSM850/900/1800/1900",2016-04-03
91,,2.8 out of 5 stars,10778,Android,Red,2 GB,14.4 x 0.7 x 7 cm,"GSM, (900/1800 MHz), 3G, HSDPA, EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-04-03
92,,4.1 out of 5 stars,3599,Android,White,512 MB,12.6 x 1.1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-03
93,,4.7 out of 5 stars,,Android,white,0.50 GB,15.2 x 7.6 x 15.2 cm,HSDPA,5 mp camera,2016-04-03
94,,3.5 out of 5 stars,9657,Android,White,16 GB,14.1 x 0.8 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), 4G LTE, FDD, (800/850/900/1800/2100/2600 MHz), TDD, (2300/2400 MHz), GPRS, EDGE, HSPA+, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, Vibrator sensor, E-mail",2016-04-03
95,,1.8 out of 5 stars,,Android,Deep Black,2 GB,13.7 x 0.8 x 7 cm,"GSM, (850/900/1800/1900 MHz), GPRS, EDGE, 3G, HSPA, (850/900/1900/2100 MHz)","Video Calls, GPS, Music Player, Video Player, Accelerometer sensor, Geomagnetic sensor, Gyro sensor, Light sensor, Pressure sensor, Proximity sensor, Gesture sensor, E-mail",2016-04-03
