product_id,name,ratings,price,os,colour,ram,product_dimensions,connectivity_technologies,special_features,date_now
122,"HTC Desire 826 (Dual SIM, White Birch, 2GB RAM)",3.3 out of 5 stars,18995,"Android, Lollipop",White Birch,2 GB,15.8 x 0.8 x 7.8 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 128GB",2016-03-27
127,Karbonn Titanium Delight S22 (White-Silver),2.7 out of 5 stars,4590,Android,White-Silver,512 MB,13.4 x 1 x 6.7 cm,"GSM, 3G, WCDMA, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
130,Lava Iris X1 Atom S (Black),3.2 out of 5 stars,3799,"Android, Kitkat",Black,512 MB,12.6 x 1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
144,OptimaSmart ops_35g Android Mobile Phone (Blue),4 out of 5 stars,2599,Android,Blue,1 GB,15.7 x 9.4 x 6.4 cm,HSDPA,"Dual Band/GSM+GSM, Bluetooth, Charger/ Handsfree/ Battery/USB cable, Multi-capacitive touch  Key Pad:Touch And Type, GSM PHONE",2016-03-27
145,LG L Bello Dual D335 Black Gold,3 out of 5 stars,10500,Android,Black Titan,1 GB,18.8 x 15.6 x 5.4 cm,HSDPA,"5-inch, 1.3 GHz quad-core processor, 1GB RAM, 8GB Internal memory, expandable memory up to 32GB with microSD, Android 4.4 KitKat, 8MP rear camera with LED flash, 1MP front-facing camera",2016-03-27
147,Panasonic Eluga L2 (Midnight Black),4 out of 5 stars,6499,Android,Midnight Black,1 GB,14.1 x 0.8 x 7.1 cm,"GSM, 3G, 4G LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
149,Micromax Canvas Blaze Q400 | 4G | Black,1.7 out of 5 stars,4958,Android,black,768 MB,15.4 x 8.6 x 4 cm,4G LTE,4G,2016-03-27
157,"Samsung Galaxy S6 (Blue Topaz, 32GB)",3.8 out of 5 stars,33900,android,Blue Topaz,3072 MB,14.4 x 7.1 x 0.7 cm,4G LTE,"5 MP Secondary Camera, 16 MP Primary Camera, 5.1 inch Super AMOLED Touchscreen, 2.1 GHz + 1.5 GHz Octa Core Processor, 4G (LTE) - (Cat 6) 300 Mbps HSDPA",2016-03-27
162,Gionee Elife S5.5 (Black),3.8 out of 5 stars,12499,"Android, Jellybean",Black,2 GB,7 x 0.6 x 14.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), WiFi","GPS, Music Player, Video Player, FM Radio, Proximity sensor, Accelerometer, G sensor, Compass, E-mail",2016-03-27
165,Micromax Canvas Duet II EG111 (Black),2.1 out of 5 stars,7499,"Android, Jellybean",Black,1 GB,15.5 x 1 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio with Recording, P/L sensor, G sensor, E-mail, Dual SIM",2016-03-27
