idd,name,ratings,price,condition,mom
138,Handy Mobiles,1 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
138,B.Opg,4 out of 5 stars,"Rs. 8,000.00",New,2016-04-10
138,Two3Mobile,1 out of 5 stars,"Rs. 8,290.00",New,2016-04-10
138,Aster Enterprises,1 out of 5 stars,"Rs. 8,290.00",New,2016-04-10
139,dayal enterprises,5 out of 5 stars,"Rs. 3,899.00",New,2016-04-10
140,SCPL SLP,4.5 out of 5 stars,"Rs. 59,500.00",New,2016-04-10
140,MAYANK ENTERPRISE,3.5 out of 5 stars,"Rs. 61,900.00",New,2016-04-10
140,Veestyle,2.5 out of 5 stars,"Rs. 61,890.00",New,2016-04-10
141,SR International,4 out of 5 stars,"Rs. 5,599.00",New,2016-04-10
141,Digital mobile collection,1 out of 5 stars,"Rs. 6,405.00",New,2016-04-10
142,Shopping Jinni,1 out of 5 stars,"Rs. 9,999.00",New,2016-04-10
145,jaiz,5 out of 5 stars,"Rs. 11,000.00",New,2016-04-10
145,Emm Ess Refrigeration,3 out of 5 stars,"Rs. 11,950.00",New,2016-04-10
146,VijayVargiya Communcation,3 out of 5 stars,"Rs. 3,950.00",New,2016-04-10
146,Amazing WORLD,4 out of 5 stars,"Rs. 4,275.00",New,2016-04-10
146,mobile hub,4.5 out of 5 stars,"Rs. 4,299.00",New,2016-04-10
146,Abhay Sales,3.5 out of 5 stars,"Rs. 4,430.00",New,2016-04-10
147,Mahotsav Exclusive,1 out of 5 stars,"Rs. 7,299.00",New,2016-04-10
147,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 7,480.00",New,2016-04-10
149,D DAILY NEED FBA SLP,4 out of 5 stars,"Rs. 4,868.00",New,2016-04-10
149,KBK International,4 out of 5 stars,"Rs. 5,120.00",New,2016-04-10
149,Amado Fashions,3.5 out of 5 stars,"Rs. 5,100.00",New,2016-04-10
149,deccanhubb,3 out of 5 stars,"Rs. 5,340.00",New,2016-04-10
149,Bliss Retails,2 out of 5 stars,"Rs. 5,420.00",New,2016-04-10
149,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 5,795.00",New,2016-04-10
149,The Smart Solution,1 out of 5 stars,"Rs. 6,199.00",New,2016-04-10
150,Mekalsuta Enterprises,1.5 out of 5 stars,"Rs. 10,699.00",New,2016-04-10
154,I-Smart,2.5 out of 5 stars,"Rs. 2,749.00",New,2016-04-10
155,smartcellmumbai,1 out of 5 stars,"Rs. 4,500.00",New,2016-04-10
155,Express Delivery Retail,4.5 out of 5 stars,"Rs. 6,000.00",New,2016-04-10
157,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 33,900.00",New,2016-04-10
158,Rockingdeals.co,4.5 out of 5 stars,"Rs. 11,490.00",Refurbished,2016-04-10
159,E2S infranet pvt.Ltd,3 out of 5 stars,"Rs. 8,269.00",New,2016-04-10
160,AMS TRADING SOLUTION,2.5 out of 5 stars,"Rs. 8,399.00",New,2016-04-10
161,LavaEstore,3.5 out of 5 stars,"Rs. 3,799.00",New,2016-04-10
162,Sangam communication,2.5 out of 5 stars,"Rs. 9,999.00",New,2016-04-10
162,Deals Amazing,4 out of 5 stars,"Rs. 12,498.00",New,2016-04-10
162,PentaGram,3.5 out of 5 stars,"Rs. 12,499.00",New,2016-04-10
162,MANISH MOBILE,2 out of 5 stars,"Rs. 22,500.00",New,2016-04-10
162,one4u,5 out of 5 stars,"Rs. 23,990.00",New,2016-04-10
167,SCPL SLP,4.5 out of 5 stars,"Rs. 8,850.00",New,2016-04-10
167,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 8,850.00",New,2016-04-10
167,SHREE GANESH MOBILES HYD SLC,4.5 out of 5 stars,"Rs. 8,900.00",New,2016-04-10
167,mobile world 1313,4.5 out of 5 stars,"Rs. 9,200.00",New,2016-04-10
168,TELECOM -V-,3 out of 5 stars,"Rs. 34,500.00",New,2016-04-10
169,Rockingdeals.co,4.5 out of 5 stars,"Rs. 5,499.00",Refurbished,2016-04-10
170,deccanhubb,3 out of 5 stars,"Rs. 3,400.00",New,2016-04-10
170,ALLMOBILESSHOP,4.5 out of 5 stars,"Rs. 4,440.40",New,2016-04-10
170,Music Shopee Kop,1 out of 5 stars,"Rs. 4,346.00",New,2016-04-10
178,KBK International,4 out of 5 stars,"Rs. 8,588.00",New,2016-04-10
178,PUSHPA RETAIL,4 out of 5 stars,"Rs. 8,590.00",New,2016-04-10
178,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 10,050.00",New,2016-04-10
178,JMD EXCLUSIVE,4.5 out of 5 stars,"Rs. 13,500.00",New,2016-04-10
178,Deals Amazing,4 out of 5 stars,"Rs. 15,122.00",New,2016-04-10
178,Brisk Communications,5 out of 5 stars,"Rs. 15,999.00",New,2016-04-10
179,mobilearena,3 out of 5 stars,"Rs. 5,530.00",New,2016-04-10
179,SKYOC,4 out of 5 stars,"Rs. 5,533.00",New,2016-04-10
