SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
72,,,,android,Yellow,1 GB,26.3 x 16 x 1.2 cm,WCDMA,"Camera, Radio, Internet, E-Mail, music player",2016-04-09
73,,3.5 out of 5 stars,"16,599.00",Android,white,3 GB,18.2 x 17.6 x 3.6 cm,,"Camera, Radio, Internet, E-Mail, music player",2016-04-09
74,,3.8 out of 5 stars,"7,299.00",Android,Grey,3 GB,14.5 x 0.9 x 7.2 cm,,"3 gb ram, Android OS",2016-04-09
75,,4 out of 5 stars,"7,590.00",Android,White,1 GB,13.7 x 0.8 x 6.9 cm,"GSM, (850/900/1800/1900 MHz), HSDPA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 128GB",2016-04-09
76,,,,Android,White,,10 x 4 x 4 cm,HSDPA,"Expandable Memory Upto 32GB, 4.8 inch Full HD Display|5 MP Auto Focus Camera + 2MP Camera|Free Flip-Cover inside the box.|8.8mm Super Slim Body.|1.6 Quad Core + 1.2 Ghz Quad Core Processor",2016-04-09
77,,3.5 out of 5 stars,"2,550.00","Android, Jellybean",Multi-colored,256 MB,10.5 x 1.2 x 5.9 cm,"GSM, (900/1800 MHz), WiFi, GPRS, EDGE","Dual SIM, Expandable Memory: 32GB",2016-04-09
78,,,,,,,,,,2016-04-09
79,,3.3 out of 5 stars,,"Android, Jellybean",Dark Grey,1 GB,14 x 1 x 7.2 cm,"GSM, (900/1800/1900 MHz), HSDPA, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, Accelerometer, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-09
80,,4 out of 5 stars,"10,499.00",Android,Gold,,15.2 x 0.9 x 7.7 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), 4G LTE, WiFi 802.11b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Hall sensor, Proximity sensor, G sensor, Ambient light sensor, Digital compass, Accelerometer, E-mail",2016-04-09
81,,,,"Android, KitKat, Android^KitKat",,512 MB,,HSDPA,"E-Mail, Music Player, Video Player",2016-04-09
82,,,,"Android, KitKat, Android^KitKat",White,512 MB,,HSDPA,"Dual SIM, Music Player, Video Player",2016-04-09
83,,4.2 out of 5 stars,"7,800.00",Android,Black,1 GB,14.2 x 5.2 x 7.5 cm,,"1.3GHZ QUAD-CORE CPU, GENTLY CURVED DESIGN, Android 5.0.1 Lollipop, GESTURE SHOT, KNOCK CODE",2016-04-09
